,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz
8044,9235.771953138703,4185.038790146325,3665.118701327645,0.0,0.0,0.0,0.0,0.0,0.0
8045,9799.860033447449,4336.0184865445535,4440.955885731139,0.0,0.0,0.0,0.0,0.0,0.0
8046,9852.040939756344,4593.872843149136,2778.344525520631,0.0,0.0,0.0,0.0,0.0,0.0
8047,9787.371610887853,4740.756644668531,2484.4509124807178,0.0,0.0,0.0,0.0,0.0,0.0
8048,9995.6460336254,4778.095583371588,2499.0661982364186,0.0,0.0,0.0,0.0,0.0,0.0
8049,10203.920456362941,4815.434522074642,2513.6814839921176,0.0,0.0,0.0,0.0,0.0,0.0
8050,9698.043212060516,4348.216502411087,4720.477942865569,0.0,0.0,0.0,0.0,0.0,0.0
8051,9596.22639067359,4360.414518277622,5000.000000000002,0.0,0.0,0.0,0.0,0.0,0.0
8052,9404.217793109663,4236.812979529031,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
8053,9212.20919554574,4113.21144078044,5000.000000000001,0.0,0.0,0.0,0.0,0.0,0.0
8054,9064.670995051443,4252.855745091846,4119.374620674845,0.0,0.0,0.0,0.0,0.0,0.0
8055,9249.580246653473,4280.063450529407,3928.668613451115,0.0,0.0,0.0,0.0,0.0,0.0
8056,9050.862701536675,4157.831084708764,3855.824708551375,0.0,0.0,0.0,0.0,0.0,0.0
8057,8930.958077064724,4077.602443899091,4276.092967324322,0.0,0.0,0.0,0.0,0.0,0.0
8058,9129.675622181529,4199.834809719738,4348.936872224067,0.0,0.0,0.0,0.0,0.0,0.0
8059,8839.96594034134,3846.025056599883,4537.32871731799,0.0,0.0,0.0,0.0,0.0,0.0
8060,8873.184238901129,3890.19009242216,4089.834280735582,0.0,0.0,0.0,0.0,0.0,0.0
8061,9104.085949870278,4068.896474653716,4752.827609436774,0.0,0.0,0.0,0.0,0.0,0.0
8062,9531.624286807855,4355.553298728527,4316.587205652867,0.0,0.0,0.0,0.0,0.0,0.0
8063,8865.953449934648,4130.623379271204,4046.530715775104,0.0,0.0,0.0,0.0,0.0,0.0
8064,9263.38854016824,4375.088110912488,4192.218525574586,0.0,0.0,0.0,0.0,0.0,0.0
8065,8995.962704194793,4024.581508526976,4505.655218873536,0.0,0.0,0.0,0.0,0.0,0.0
8066,10172.834439375983,5283.280511978409,1861.7669437469644,0.0,0.0,0.0,0.0,0.0,0.0
8067,9379.749172019807,4310.321529806352,2516.7835290990142,0.0,0.0,0.0,0.0,0.0,0.0
8068,9593.203866825817,4443.044995742186,2666.4072432374837,0.0,0.0,0.0,0.0,0.0,0.0
8069,9573.916916081851,4608.033178732702,2334.827198342252,0.0,0.0,0.0,0.0,0.0,0.0
8070,6095.758590612807,324.897512845615,4549.454116321871,0.0,0.0,0.0,0.0,0.0,0.0
8071,5985.920986498946,649.7950256912284,5000.000000000001,0.0,0.0,0.0,0.0,0.0,0.0
8072,10065.373382555601,4704.020429505676,3105.4574847120884,0.0,0.0,0.0,0.0,0.0,0.0
8073,10208.978476424663,4888.2431697281345,2826.1791574278773,0.0,0.0,0.0,0.0,0.0,0.0
8074,10214.036496486384,4961.051817381627,3138.6768308636388,0.0,0.0,0.0,0.0,0.0,0.0
8075,9848.25670683716,4843.564872260094,3853.5099604943643,0.0,0.0,0.0,0.0,0.0,0.0
8076,9824.058370142302,4589.791679402323,4147.232923112752,0.0,0.0,0.0,0.0,0.0,0.0
8077,9958.526614883776,4856.138992223346,4118.045050449541,0.0,0.0,0.0,0.0,0.0,0.0
8078,9934.328278188923,4602.365799365577,4411.768013067932,0.0,0.0,0.0,0.0,0.0,0.0
8079,10068.796522930392,4868.713112186598,4382.58014040472,0.0,0.0,0.0,0.0,0.0,0.0
8080,9803.30481385538,4709.715674781771,3194.3666812813153,0.0,0.0,0.0,0.0,0.0,0.0
8081,9951.967927786161,4966.747062657717,3227.586027432864,0.0,0.0,0.0,0.0,0.0,0.0
8082,9769.078032961563,4908.003590096958,3585.0025922482314,0.0,0.0,0.0,0.0,0.0,0.0
8083,9689.89935908594,4972.4423079338085,3316.4952240020903,0.0,0.0,0.0,0.0,0.0,0.0
8084,9650.819642244238,4629.762690173174,3562.6206431766986,0.0,0.0,0.0,0.0,0.0,0.0
