,s0_5,s1_5,s2_5,s3_5,s4_5,s0_5_10%,s1_5_10%,s2_5_10%,s3_5_10%,s4_5_10%,s0_10,s1_10,s2_10,s3_10,s4_10,s0_10_10%,s1_10_10%,s2_10_10%,s3_10_10%,s4_10_10%,s0_15,s1_15,s2_15,s3_15,s4_15,s0_15_10%,s1_15_10%,s2_15_10%,s3_15_10%,s4_15_10%,s0_20,s1_20,s2_20,s3_20,s4_20,s0_20_10%,s1_20_10%,s2_20_10%,s3_20_10%,s4_20_10%
300,-0.254529644,-0.277431886,0.54863637,6.339107225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.483692316,-0.964793439,-1.584298444,-2.56551652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.395177408,-0.717550183,-0.981860307,-1.135127891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.359250785,-0.707978012,-1.130627155,-1.710860191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.345856429,-0.656580608,-0.948544522,-1.139830273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.453160634,-1.273139642,-3.269909394,-1.321388583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.32918295,-0.532097869,-0.455349042,0.67441547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.486325126,-0.96074024,-1.545990251,-2.408889003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s1_5,s1_10,s1_15,s1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.373615148,-0.706222729,-1.005987607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.284098095,-0.516988912,-0.696227389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.39730148,-0.819417059,-1.382165629,-2.281202606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.508862618,-1.006920026,-1.632842412,-2.585148799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.268426776,-0.514675542,-0.771357621,-1.061875872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.547990271,-1.107612028,-1.862653638,-3.140686492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.52797881,-1.044798853,-1.702269978,-2.707125478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.549631813,-1.116752427,-1.904656801,-3.274795223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.546748388,-1.098901884,-1.822087552,-2.96945856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
