,,,,0,5,10,15,20
0.024547875,24.58157913,6.48426032,4.801832652,0.024547875,0.03336458,0.068911946,0.211108441,0.931478744
0.535342404,7.582623944,0.241747006,10.10735995,0.535342404,0.626391047,0.829108199,1.231303684,2.034811706
0.161243366,13.88932954,32.8080821,16.87791987,0.161243366,0.199402964,0.310788198,0.602140723,1.427369471
1.137188923,3.769437846,5.789429238,16.65404908,1.137188923,1.287052415,1.545468264,1.959868194,2.614092772
0.615082102,11.5117329,31.73753755,17.21623759,0.615082102,0.744913855,1.091339769,1.911756491,3.952860528
0.067703567,11.76483389,44.87613858,33.35733233,0.067703567,0.082176931,0.121187704,0.21457457,0.450154401
0.161243366,12.29785632,6.524872799,14.36515705,0.161243366,0.196631915,0.294022038,0.532470401,1.151774218
0.384291233,11.35032908,18.35067982,39.78903016,0.384291233,0.464748397,0.678035182,1.179676317,2.41670383
0.615082102,11.5117329,22.74002908,6.07836015,0.615082102,0.744913855,1.091339769,1.911756491,3.952860528
0.295121492,11.5117329,11.2339767,35.00280771,0.295121492,0.357415844,0.52363387,0.917276615,1.896615256
0.487992015,13.01595338,27.83496343,24.75898094,0.487992015,0.598861253,0.91236726,1.703340507,3.839728366
0.441535783,4.433821059,11.95622223,45.21277039,0.441535783,0.502619978,0.61380901,0.799938344,1.107208504
0.138913683,13.09988093,21.24539612,37.7652478,0.138913683,0.170599999,0.260478604,0.488033742,1.105467242
0.384291233,7.941378558,4.356786111,33.62126732,0.384291233,0.451063713,0.602573433,0.908395561,1.532043173
0.550350819,5.128783946,1.040098034,49.32929021,0.550350819,0.630294466,0.783472519,1.050741656,1.512020785
0.493279891,8.787485776,25.4141357,40.24716261,0.493279891,0.5832955,0.796389922,1.243882462,2.201202942
1.37269456,3.689502763,17.07865516,19.63984718,1.37269456,1.552515115,1.860454883,2.351595108,3.122676462
0.487992015,6.968133036,42.84163557,26.7633369,0.487992015,0.567926827,0.739955283,1.071093555,1.709533166
0.051781025,18.04128933,27.21016927,43.50655051,0.051781025,0.066421946,0.115420433,0.26694446,0.804543578
0.21053606,9.692080039,8.110174513,30.43024053,0.21053606,0.25093709,0.350707626,0.568981339,1.060153506
1.564031507,3.106595328,3.134642566,8.830750181,1.564031507,1.759989591,2.078170927,2.564878748,3.297566995
0.024547875,24.58157913,48.187562,45.48987924,0.024547875,0.03336458,0.068911946,0.211108441,0.931478744
0.165489973,14.16700449,44.17439967,5.28263887,0.165489973,0.205155247,0.322079722,0.631425574,1.520939181
0.033252689,11.35032908,43.59596168,36.83881909,0.033252689,0.04021464,0.058670328,0.102077294,0.209117182
0.584137175,11.71784544,11.7556667,41.00715085,0.584137175,0.708718832,1.043884643,1.844629901,3.85941791
0.566095318,6.71056145,9.951614962,41.55197303,0.566095318,0.657341895,0.850816379,1.218427403,1.916582742
0.430032,9.261120189,30.79541098,45.8074284,0.430032,0.5106207,0.705737852,1.124423762,2.044213917
0.470867047,6.676755376,21.15635147,21.92853334,0.470867047,0.546602634,0.706870605,1.010863994,1.587052728
0.70974005,4.023023556,15.93540102,22.51463063,0.70974005,0.805045632,0.972925787,1.246713109,1.686511984
0.1101283,3.451351812,34.04173289,10.54476161,0.1101283,0.124297538,0.148055364,0.185323756,0.242858296
0.790203745,8.944939162,10.77811835,43.13246199,0.790203745,0.935693043,1.282727234,2.016770077,3.601056432
0.697187037,6.075411182,9.716678191,34.12614529,0.697187037,0.805083589,1.025231044,1.429948797,2.170140722
0.671409426,4.764167893,31.98938566,7.347030476,0.671409426,0.766497907,0.94396505,1.247070494,1.758261832
0.165489973,14.06544804,45.1380196,30.17355631,0.165489973,0.204971974,0.320939925,0.62648068,1.500218741
0.550350819,5.128783946,9.507936563,45.53840211,0.550350819,0.630294466,0.783472519,1.050741656,1.512020785
0.758248192,6.35822315,14.31648949,23.32219515,0.758248192,0.877760295,1.125901006,1.588912989,2.450139254
0.350960996,14.18838297,8.141279272,35.25679002,0.350960996,0.435162546,0.683556929,1.341307013,3.234843044
0.893378008,6.224358421,9.857139952,24.14585173,0.893378008,1.032980024,1.320468098,1.853158105,2.836122714
0.348769557,9.491257759,11.2339767,32.58846401,0.348769557,0.414965792,0.576950771,0.928164027,1.709698979
1.237742307,3.725782926,8.499916876,16.05331626,1.237742307,1.400325761,1.679623739,2.126186458,2.829055608
0.292286805,13.2560843,3.067528198,41.65548193,0.292286805,0.359451058,0.551062077,1.039337148,2.375506973
0.530655082,8.12874302,9.951614962,41.55197303,0.530655082,0.623881435,0.837467948,1.272439219,2.168965871
1.28673219,4.820852981,10.83362918,32.42933845,1.28673219,1.469691672,1.812584163,2.400207278,3.394837293
0.371378244,6.781203231,30.79541098,10.14533436,0.371378244,0.431505546,0.559522324,0.803633971,1.269169047
1.137188923,3.769437846,14.11189564,43.75826651,1.137188923,1.287052415,1.545468264,1.959868194,2.614092772
0.161243366,7.573852003,32.8080821,39.41614401,0.161243366,0.188652437,0.2496492,0.370616757,0.612164543
0.470867047,6.564176918,21.15635147,24.88858693,0.470867047,0.546065089,0.704141081,1.002255312,1.563565989
1.40395819,4.023023556,9.411751745,19.9964039,1.40395819,1.592485036,1.924573832,2.466160788,3.336140201
0.585062213,11.45679433,8.454245065,41.73998282,0.585062213,0.708215595,1.03609597,1.810774005,3.732288721
0.1101283,13.18455601,13.74153658,49.03741933,0.1101283,0.135349391,0.207113077,0.389444324,0.886456544
1.012894264,7.365932354,5.607073246,47.3162306,1.012894264,1.182918131,1.557049652,2.291542266,3.740717563
1.456743002,4.764167893,31.98938566,33.0014379,1.456743002,1.66305449,2.048101244,2.705742791,3.814863954
0.692458702,8.801855598,20.16973697,17.54200415,0.692458702,0.818924311,1.118515052,1.748063282,3.095943907
0.138913683,2.55021803,7.292861832,10.57477387,0.138913683,0.155567151,0.181127658,0.218535468,0.272465116
0.723760705,5.943485915,14.64414306,46.56082268,0.723760705,0.834807506,1.059501887,1.469681,2.213930633
0.506996279,11.39851175,11.1604875,34.81643245,0.506996279,0.613403061,0.896031728,1.562133357,3.209061806
0.059446776,8.787485776,21.2772365,35.9061289,0.059446776,0.070294852,0.095975559,0.149904351,0.265274179
0.397558614,11.71784544,18.05181056,42.47435612,0.397558614,0.482347792,0.71045869,1.255438857,2.626685823
0.28947673,3.725782926,3.505665279,16.05331626,0.28947673,0.327500902,0.39282166,0.497261425,0.661644804
0.30736744,8.130414115,26.90703322,41.65548193,0.30736744,0.361371542,0.485108364,0.737119641,1.25659368
0.530655082,12.30909507,32.52919542,46.84713674,0.530655082,0.647183405,0.968010788,1.753890447,3.796249124
0.313907521,8.900402294,13.96133057,21.71234984,0.313907521,0.371557959,0.508778216,0.798434072,1.422038318
0.347389098,12.55701561,30.57203891,29.55707202,0.347389098,0.424597564,0.63919232,1.170346249,2.569525552
0.051781025,13.06884966,17.66776777,38.49963542,0.051781025,0.063574966,0.096990246,0.181482269,0.410350384
0.680172567,7.818256779,20.12689916,30.43024053,0.680172567,0.797496008,1.062001593,1.592775954,2.667575001
0.129030357,13.88932954,18.48849769,26.02294734,0.129030357,0.159566476,0.2486993,0.481845763,1.142211289
0.296018159,11.77689377,24.5219493,23.09844588,0.296018159,0.359337656,0.530087342,0.939049801,1.971389134
0.340859543,10.74012072,32.43911062,47.7519722,0.340859543,0.41002139,0.588799983,0.998369659,1.975032597
0.241913312,11.0370238,2.503155083,47.59765833,0.241913312,0.291757877,0.422208319,0.724922086,1.458667232
0.220372985,15.74874858,29.11251296,45.51729493,0.220372985,0.27702478,0.453276233,0.950537466,2.508553904
0.356784056,7.365932354,24.84371311,2.5000328,0.356784056,0.416673629,0.548458522,0.807177782,1.317638409
0.024547875,9.510284843,18.56149887,44.15621833,0.024547875,0.029211918,0.040634978,0.065423433,0.120642288
0.187695895,12.38651276,12.498203,40.22575693,0.187695895,0.229068456,0.343314925,0.624077877,1.356820718
0.138913683,8.516554467,26.74088763,44.43625411,0.138913683,0.163873819,0.222184369,0.343111064,0.597890471
0.101987811,19.00567109,14.64414306,46.56082268,0.101987811,0.131943319,0.235168242,0.566830253,1.806768848
0.591890147,6.115222017,14.66924057,8.375069123,0.591890147,0.683728657,0.87157926,1.217652382,1.852101432
0.143092528,16.64781815,11.1604875,34.81643245,0.143092528,0.181308829,0.303736635,0.661857539,1.839976052
1.077291775,7.038627971,17.02230314,37.65241876,1.077291775,1.25452902,1.637492413,2.377261475,3.809417353
0.493279891,12.45380556,25.4141357,25.53949895,0.493279891,0.602366439,0.904374849,1.648664966,3.598281956
0.843240697,8.074897873,18.35067982,45.9754221,0.843240697,0.990915384,1.32831415,2.013683549,3.421991905
0.132952583,14.24796619,19.81273247,41.36771135,0.132952583,0.164936653,0.259487281,0.510469476,1.235341215
0.418172736,9.962562795,24.36613169,16.05331626,0.418172736,0.499602007,0.703140414,1.15381743,2.183303426
0.530655082,5.200051143,13.70711096,20.35346117,0.530655082,0.608115559,0.757278697,1.018607973,1.471649972
0.313907521,8.038549787,3.650004068,21.71234984,0.313907521,0.368764021,0.493863021,0.747543637,1.267733703
0.155273969,14.79240021,1.429455288,40.13233819,0.155273969,0.19355327,0.308871131,0.62185596,1.552918898
0.663193837,2.892062871,14.24429721,17.58010413,0.663193837,0.744899667,0.874809019,1.070278519,1.359794396
0.051781025,13.14404633,15.3334517,36.51707133,0.051781025,0.063617017,0.097244733,0.182539794,0.414531215
0.462691107,7.818256779,41.53931859,20.39453905,0.462691107,0.542501019,0.722432389,1.08349455,1.814632477
0.363577509,10.22638499,32.8080821,34.95465025,0.363577509,0.43538197,0.616954375,1.023699093,1.966505946
1.156925218,6.676755376,5.195927085,46.15996439,1.156925218,1.343008341,1.736788409,2.483703319,3.899405015
0.29030788,11.77689377,14.875164,41.84200834,0.29030788,0.352405924,0.519861797,0.920935246,1.933360442
0.448671686,9.679396462,18.18996196,47.7519722,0.448671686,0.534710525,0.747062089,1.211372906,2.255455375
0.016993124,11.68278679,31.13624578,26.96142307,0.016993124,0.020610979,0.030330647,0.053517351,0.111746464
0.585062213,9.253571428,10.17013094,47.12978722,0.585062213,0.694657867,0.959911743,1.528903992,2.778367474
0.505699344,8.563506311,15.97025196,41.75078734,0.505699344,0.596809229,0.810149084,1.25354699,2.190216959
0.790203745,8.944939162,18.23002033,23.6869955,0.790203745,0.935693043,1.282727234,2.016770077,3.601056432
1.012894264,7.365932354,28.46920221,47.3162306,1.012894264,1.182918131,1.557049652,2.291542266,3.740717563
0.237950903,16.74442698,14.06853981,40.07284343,0.237950903,0.301758368,0.506801842,1.108912583,3.100092705
0.496272637,11.00133271,6.046133182,45.72717107,0.496272637,0.59833869,0.865066115,1.483062853,2.97808277
0.273385561,11.6519987,24.17256827,41.2677288,0.273385561,0.331499998,0.487437912,0.858948079,1.790355041
0.271445902,12.27078565,27.76039111,46.26008955,0.271445902,0.330942186,0.494506765,0.894519934,1.931908855
0.458012075,11.80633992,12.24327209,6.002778502,0.458012075,0.556126558,0.821014024,1.45623887,3.062316458
0.880990791,8.712308694,13.10701207,43.70166597,0.880990791,1.041071529,1.418651864,2.208820194,3.892092403
0.267992223,5.943485915,32.23430797,46.56082268,0.267992223,0.309110342,0.39230959,0.544189641,0.81976845
