ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
1552,106509,38,"[2335.9508304462533, 1375.8006928991915, 270.66278906007943]",0.0544652046682792,-0.0009194334893929,0.0355288260399694,3.120626357808618,-0.0526796584852036,2.0356517831447434,[-0.89954438 -0.01981421 -0.43637976],[-0.43627394 -0.00960978  0.89976258],[-2.20215975e-02  9.99757498e-01  1.54593535e-09]
1554,45560,16,"[2305.8703687445127, 1373.3229806848112, 247.6067383669886]",0.0880287106440049,-0.0304706361072866,0.0713632913049282,5.043673595879824,-1.7458388480264624,4.08881540393503,[-0.87072589 -0.02350107 -0.4912068 ],[-0.49102798 -0.01325295  0.87104299],[-2.69803823e-02  9.99635961e-01 -4.90319558e-11]
1573,43264,15,"[2334.907867973373, 1483.9167899408285, 207.79393953402368]",-0.0208682688628312,-0.1349509599083905,0.0129782793010512,-1.195663731584489,-7.732120443989952,0.7436006292922315,[-0.26803992 -0.01200489  0.96333301],[-0.96236827 -0.04310227 -0.26830862],[-4.47428646e-02  9.98998539e-01 -5.78196359e-10]
1628,181647,66,"[2474.7195494558127, 1676.3948262288945, 224.19184462171134]",-0.0364549585675728,-0.0463313604173925,-0.0303302714160297,-2.0887152682462045,-2.654591411016071,-1.737796543624782,[0.30054001 0.00834939 0.95373266],[-0.95336483 -0.0264857   0.30065596],[-2.77705778e-02  9.99614320e-01  2.77687348e-09]
1639,16445,5,"[2415.378108847674, 1494.2782000608088, 293.2570994223168]",0.0208984584097144,-0.1750873688067502,0.0584639123990374,1.197393465206332,-10.031767278677286,3.3497354342874104,[-0.98334533 -0.054343    0.17343242],[0.17316818 0.00956986 0.98484578],[-5.51791956e-02  9.98476464e-01  1.47785062e-09]
1658,69098,25,"[2467.8418478103563, 1209.131523343657, 239.7151002923384]",-0.0004917866008247,0.098047937397338,-0.033756180427137,-0.0281772966483373,5.617733002830377,-1.934086670957072,[0.49280565 0.00467757 0.87012684],[-0.87008765 -0.00825863  0.49282785],[-9.49129634e-03  9.99954958e-01  5.13435320e-11]
1672,5628,2,"[2470.9392324093815, 1657.0117270788912, 277.5721393034826]",-0.0173590117130113,-0.3373426560525605,0.1079843998601115,-0.9945981076737098,-19.32831044154507,6.187050365237468,[-0.93738125 -0.09255671  0.33578214],[0.33415716 0.03299457 0.94193968],[-9.82618293e-02  9.95160601e-01 -4.95378563e-10]
1681,12080,4,"[2486.3167218543044, 1709.1363410596027, 290.75173841059603]",0.0796592132857298,-0.1736187285088952,0.1013534692386912,4.564136720604779,-9.94762038798736,5.8071260263860225,[0.83697934 0.04730153 0.54518633],[-0.54431778 -0.03076189  0.83831489],[-5.64245409e-02  9.98406866e-01  2.10757362e-09]
1708,30573,11,"[2544.5464952736074, 1273.9489091682203, 266.4229221862428]",-0.007566997761637,-0.0069232604159933,-0.0174981810798229,-0.4335570353267428,-0.3966736023064072,-1.002571925029521,[0.80805202 0.01792664 0.58883832],[-0.58869347 -0.01306017  0.80825084],[-2.21795538e-02  9.99754006e-01  1.21867503e-09]
1715,24749,9,"[2558.7207967998706, 1324.8056487130793, 238.79530486080245]",0.0380610658320739,-0.0975125785154852,0.0458907663499835,2.1807384359474327,-5.587059198375371,2.629347230475034,[0.77942039 0.03013682 0.62577603],[-0.62530877 -0.02417799  0.7800028 ],[-3.86368124e-02  9.99253320e-01  1.45954762e-09]
1717,40143,14,"[2585.832548638617, 1331.0691527788158, 288.075704356924]",-0.0068525930667298,-0.0801936735062582,0.0045226221069303,-0.3926246614442163,-4.594759035558685,0.2591271590596733,[-0.98596356 -0.03387793 -0.16348737],[-0.16339095 -0.00561415  0.98654543],[-3.43399577e-02  9.99410207e-01 -5.14451515e-09]
1776,65497,23,"[2670.6748706047606, 1521.8673527031772, 234.99340427805853]",0.0695229772788978,-0.127270930487121,0.0796718469707153,3.983373177264781,-7.292087171614913,4.564860577434146,[0.83453949 0.03796671 0.54963839],[-0.54907048 -0.02497952  0.83540268],[-4.54471958e-02  9.98966740e-01 -5.85675657e-09]
1779,5469,1,"[2640.2569025415983, 1491.8312305723166, 265.6595355640885]",-0.0709422357464051,-0.0985587215804524,-0.0384345175141174,-4.06469069749113,-5.646998780764871,-2.2021356411805755,[-0.88207406 -0.03163022  0.47004773],[0.46974582 0.01684457 0.882641  ],[-3.58358879e-02  9.99357688e-01  4.35815151e-09]
1780,27698,10,"[2657.8568488699543, 1551.0175824969313, 288.68622283197345]",0.0376836521346781,-0.1379270966901629,0.0580815666432544,2.159114223956209,-7.90264052083916,3.327828636166302,[-0.85890616 -0.04051713 -0.51052774],[-0.50996065 -0.02405634  0.85986128],[-4.71205364e-02  9.98889208e-01 -3.71573530e-10]
1785,67686,24,"[2686.14521466773, 1112.1204089471973, 240.02684454687824]",0.020307757948335,0.0037939766325365,0.0042186128542819,1.163548821812853,0.2173788486155992,0.2417087119499896,[-0.92702452 -0.01945363 -0.37449578],[-0.37441334 -0.00785707  0.92722862],[-2.09804039e-02  9.99779886e-01 -1.52555214e-10]
1792,27767,10,"[2677.564266935571, 1677.6286239060755, 274.5386610004682]",-0.01192997226405,-0.2906976903117809,0.0869848149318174,-0.6835370604381978,-16.65575076906608,4.983862777319679,[-0.99287669 -0.08410012  0.08439813],[0.08409699 0.00712331 0.99643211],[-8.44012513e-02  9.96431855e-01 -1.42906979e-09]
1794,73082,26,"[2689.936838072302, 1817.2435483429572, 227.8461317424263]",0.0389202132864774,-0.1082034255450276,0.0497575823892146,2.2299639590641505,-6.19959961258812,2.8508994696764702,[0.79332405 0.03240682 0.60793647],[-0.60742988 -0.02481315  0.79398567],[-4.08153692e-02  9.99166703e-01  1.15966139e-09]
1801,2751,1,"[2665.098873137041, 1019.0087241003272, 296.7237368229735]",0.0470290769099071,-0.594517919772179,0.2866357570261811,2.694567621333846,-34.06336764784313,16.42301913513751,[-0.91744273 -0.19679149  0.34579174],[0.33810115 0.07252271 0.93831129],[ 2.09729428e-01 -9.77759462e-01 -1.37561618e-09]
1809,21870,7,"[2709.7622313671695, 1788.2957933241885, 258.0599908550526]",-0.017721774164475,-0.2946055268136496,0.08563796290527,-1.0153828651083927,-16.87965330765033,4.906693840569872,[-0.91431713 -0.07813712 -0.39738994],[-0.3959467  -0.03383742  0.91764984],[-8.51491680e-02  9.96368208e-01  1.42313609e-09]
1814,9334,3,"[2701.8908292264837, 1630.2961217055924, 293.01242768373686]",0.055867752729799,-0.036454130622081,0.0446580965974476,3.2009864422979604,-2.0886678304638586,2.558720456121293,[-0.94885082 -0.02627714 -0.31462936],[-0.31450879 -0.00870989  0.9492146 ],[-2.76830364e-02  9.99616747e-01  3.41917515e-09]
1827,28181,10,"[2730.949185621518, 1149.1534012277775, 259.51712146481674]",-0.1597036231531388,0.0916824500283349,-0.1791420999314156,-9.150343579622628,5.253017442042667,-10.26408625918095,[0.69835824 0.0060335  0.71572296],[-0.71569625 -0.00618329  0.69838431],[-8.63922727e-03  9.99962677e-01  3.04170903e-09]
1829,14092,5,"[2738.2963383479987, 1136.2165058189044, 291.9542293499858]",-0.0689843488719081,0.015939100849627,-0.0769076698352533,-3.952512042818398,0.913243207917013,-4.406484893745606,[-0.96296404 -0.01737027 -0.26906973],[-0.26902597 -0.00485278  0.9631207 ],[-1.80354053e-02  9.99837345e-01  4.04157590e-09]
1841,4901,1,"[2744.0710059171597, 1764.4019587839216, 293.92552540297896]",-0.0948989357650527,-0.4943330815820936,0.1759828576978633,-5.437308499620613,-28.32319924835017,10.083075012738924,[-0.93464206  0.20876249 -0.28785836],[0.13045282 0.95438323 0.26857906],[-0.33079643 -0.21347334  0.91924037]
1849,16717,6,"[2774.7561165280854, 1844.6543638212597, 292.60567087396066]",0.1112649607983251,-0.0370382397225159,0.093130893554082,6.375012661432578,-2.1221348166939578,5.336007142931024,[-0.9995805  -0.02824233 -0.00641827],[-6.41570676e-03 -1.81268334e-04  9.99979409e-01],[-2.82429107e-02  9.99601084e-01 -4.00722015e-09]
1858,39266,14,"[2790.567794020272, 1223.202541639077, 279.69928182142314]",-0.1113150572333028,0.006049560785625,-0.1096922359900074,-6.377882975725456,0.3466143009241627,-6.284902167580462,[-0.58991663 -0.01091299  0.80739041],[-0.8072523  -0.01493353 -0.59001757],[-1.84960477e-02  9.99828929e-01  7.55010407e-10]
1873,3402,1,"[2779.284244562022, 1785.642857142857, 275.82216343327457]",0.0646518528294199,-0.4245330957129725,0.1943129563402702,3.704278304826687,-24.32395464797675,11.133312303007315,[-0.95264961 -0.13085345 -0.2744742 ],[-0.27192101 -0.03735035  0.96159446],[-1.36079661e-01  9.90697894e-01  7.56018343e-10]
1874,12923,4,"[2792.0759111661378, 1891.2244834790683, 253.20010833397816]",0.1360755342979942,-0.2805549837225831,0.1761742158691998,7.796553810262765,-16.07461648866552,10.094039028331842,[0.7529942  0.06628179 0.65468042],[-0.65215875 -0.05740582  0.75590577],[-8.76852628e-02  9.96148228e-01  4.26740225e-09]
1883,53082,19,"[2853.533495346822, 914.1006932670208, 275.56987302663805]",0.0145339817075584,0.0408841320479647,-0.0090856701027484,0.8327358113634489,2.3424882154039306,-0.5205705509356804,[-0.94309097 -0.01501549  0.33219564],[0.33215355 0.00528841 0.9432105 ],[-1.59195596e-02  9.99873279e-01 -3.79947901e-09]
1884,70883,25,"[2848.6657590677596, 1654.434293130934, 220.7492064387794]",0.012390637325395,-0.0260316676932768,0.0046847428422404,0.7099312242224016,-1.491504692511814,0.2684159929644991,[0.80331167 0.0204131  0.59520892],[-0.59501685 -0.01512009  0.80357098],[-2.54029870e-02  9.99677291e-01  8.40518881e-10]
1888,66769,24,"[2857.390001347931, 968.7282421483023, 240.81942218694303]",-0.0908048149494522,0.0929126985904688,-0.116794118402711,-5.202732656070054,5.323505492404976,-6.6918100564265615,[9.84142504e-02 9.13291895e-04 9.95145119e-01],[-0.99510227 -0.00923465  0.09841848],[-9.27969762e-03  9.99956944e-01 -1.40261333e-09]
1889,6448,2,"[2827.8356079404466, 1337.3062965260547, 258.31172456575683]",-0.035904697885329,0.0144268581042737,-0.0477806036507418,-2.0571876535216376,0.8265980810089992,-2.7376269317748836,[-0.92947956 -0.01743986  0.36846111],[0.36839627 0.00691223 0.92964316],[-1.87597375e-02  9.99824024e-01  2.40653867e-10]
1893,62271,22,"[2884.281864752453, 1460.952931541167, 287.77087247675485]",-0.0721306414390654,0.0806295961498962,-0.096800513447992,-4.132781328029893,4.619735563233325,-5.546260875269311,[-0.99993624 -0.01062914  0.00381175],[3.81153773e-03 4.05156016e-05 9.99992736e-01],[-1.06292070e-02  9.99943508e-01  3.69023173e-09]
1910,56428,20,"[2884.058587935068, 1610.171049833416, 254.8760721627561]",-0.1413592061450721,-0.153797721513512,-0.0613557778314195,-8.099285907432403,-8.811960341452622,-3.515427118482677,[-0.87908869 -0.03778535 -0.47515822],[-0.47471991 -0.0204046   0.87990037],[-4.29427568e-02  9.99077539e-01  2.25085909e-09]
1924,34171,12,"[2936.5584560007023, 2138.266132100319, 234.35585730590267]",-0.0157778858913961,-0.269394809677623,0.0743670920603198,-0.9040062712160052,-15.435185617257863,4.260920509717181,[-0.85745319 -0.06709854  0.51016841],[0.50861352 0.03980068 0.86007453],[-7.80147895e-02  9.96952199e-01  2.86164297e-09]
