ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
633,30933,11,"[824.7474541751527, 2925.217373032037, 269.02592700352375]",-0.1797529837455656,0.0278758766137373,-0.1745693304050531,-10.299087323504594,1.5971700801945818,-10.002085864634346,[0.6531728  0.00942649 0.75715021],[-0.75707138 -0.01092594  0.65324081],[-1.44303451e-02  9.99895881e-01  5.18474697e-09]
642,9932,3,"[838.6004832863472, 2928.6603906564637, 290.06222311719694]",-0.140319150324188,-0.0736005299463364,-0.100459452647883,-8.039695098437733,-4.2169997358513065,-5.755902648918038,[-0.06543635 -0.00189912  0.99785494],[-0.99743495 -0.02894794 -0.06546391],[-2.90101706e-02  9.99579117e-01 -3.42737983e-09]
703,28988,10,"[958.184421139782, 2723.353594590865, 224.4587760452601]",-0.0259750772906297,0.0361658356871515,-0.04452716551247,-1.4882623012791925,2.072149747437402,-2.5512186575450073,[-0.98968704 -0.0159242   0.14235871],[0.14234029 0.00229028 0.98981514],[-1.60880630e-02  9.99870578e-01 -3.91669219e-09]
759,41684,15,"[1025.3212503598504, 3001.0078207465695, 201.2107763170521]",-0.1087628154019237,-0.2063380151830678,-0.0131245770249917,-6.231650290490691,-11.822297423096089,-0.7519828714263923,[-0.97317875 -0.05449907 -0.22350163],[-0.22315199 -0.01249676  0.97470355],[-5.59134752e-02  9.98435616e-01 -3.32043792e-09]
761,28811,10,"[1005.7885529832356, 2769.576377078199, 260.5630488355142]",-0.1317173098914219,-0.0416431295327215,-0.1079614443061299,-7.546845945595237,-2.385975567941543,-6.185735108877942,[0.74350621 0.01820403 0.6684812 ],[-0.66828092 -0.0163622   0.74372904],[-2.44766915e-02  9.99700402e-01 -2.67921325e-09]
763,59352,21,"[1034.9744406254213, 2949.388495754145, 226.59012333198544]",-0.1939038387009999,-0.1717867014260167,-0.0827271984201547,-11.109871588952773,-9.842652968184758,-4.739919320416199,[-0.99734688 -0.04280812  0.05887842],[0.05882427 0.00252486 0.99826516],[-4.28825161e-02  9.99080116e-01  3.06609428e-09]
764,3013,1,"[1002.5957517424494, 2683.1526717557254, 296.60902754729506]",-0.0806937019921023,-0.5250984916473338,0.2024010189631976,-4.623408557433862,-30.085927400077736,11.596724155738563,[-0.90604991 -0.14318448  0.39821071],[0.3933295  0.06215847 0.91729397],[ 1.56094425e-01 -9.87742139e-01  4.31156263e-09]
766,8996,3,"[1015.1248332592263, 2766.5374610938193, 281.4239662072032]",-0.0946844908088127,-0.0613491581385933,-0.0713282931097156,-5.4250217086901955,-3.5150478380220633,-4.086810155058778,[-0.38467013 -0.01102586  0.92298826],[-0.92260933 -0.02644488 -0.38482812],[-2.86513699e-02  9.99589464e-01 -4.92134225e-09]
779,37052,13,"[1071.0801036381301, 2932.7524560077727, 288.74819173054084]",-0.0762109862282742,0.0737066325588024,-0.0988722204920914,-4.366567863409756,4.2230789677409195,-5.664960945283731,[-0.98243559 -0.01108203 -0.18627265],[-0.1862608  -0.00210105  0.98249809],[-1.12794459e-02  9.99936385e-01 -1.57463367e-09]
780,68760,25,"[1064.268062827225, 2978.8154886561956, 259.94415357766144]",-0.2756923119015904,0.0916034395155254,-0.280665193202259,-15.79600591616544,5.248490473121517,-16.080931026713287,[-0.99881629 -0.00701425 -0.04813328],[-4.81320888e-02 -3.38013961e-04  9.98840923e-01],[-7.02238985e-03  9.99975341e-01 -4.05125716e-09]
