ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
860,208913,76,"[1241.4409969700305, 1723.5253000052653, 233.39610747057387]",-0.0067323777231336,0.1240267490011331,-0.0438334346015455,-0.3857368296234398,7.106209264493327,-2.5114708042312657,[-0.82922896 -0.00591807 -0.55887772],[-0.55886349 -0.00398852  0.82925007],[-7.13665890e-03  9.99974529e-01 -3.13970518e-09]
885,109927,40,"[1289.0575563783239, 1791.3893856832262, 271.46298907456764]",-0.0756105097008297,0.2260273290642388,-0.1229808534940816,-4.332163092690507,12.950412009995532,-7.046283866127581,[-0.86218759 -0.00097423 -0.50658821],[-5.06587883e-01 -5.72415318e-04  8.62188137e-01],[-1.12994009e-03  9.99999357e-01  1.58094408e-09]
913,10910,3,"[1224.614848762603, 1710.8856095325389, 204.43675527039414]",-0.0615952007208138,0.1831243297143281,-0.1049014866583131,-3.5291450395637867,10.492251218793134,-6.010412450169255,[-0.90112802 -0.0026656  -0.43354491],[-0.43354302 -0.00128245  0.90113196],[-2.95806103e-03  9.99995630e-01  1.09425748e-09]
953,13970,5,"[1318.6561918396565, 1876.3767358625626, 294.5735146743021]",0.038681097787018,0.1433648963778793,-0.0027139459514541,2.216263650128951,8.214203492782868,-0.1554976488449426,[-0.98562389 -0.0056794   0.16885876],[1.68855962e-01 9.72988027e-04 9.85640258e-01],[-5.76213317e-03  9.99983398e-01 -4.38850236e-09]
980,172617,62,"[1406.0770607761692, 1553.8612419402493, 243.46680222689537]",-0.0111122550384634,0.1474857255581304,-0.0513620518559642,-0.6366853145769369,8.450309612905611,-2.9428287984788284,[-0.91718128 -0.00487064 -0.39844043],[-0.39843481 -0.00211587  0.91719421],[-5.31036581e-03  9.99985903e-01 -1.09408363e-10]
983,15086,5,"[1349.3372663396526, 1919.4427283574175, 280.77687922577223]",-0.0543788406172907,0.195535953249329,-0.0992326725588615,-3.1156780621853244,11.20338486425393,-5.685613327426431,[-0.96727503 -0.00228362 -0.25371991],[-2.53719202e-01 -5.99001979e-04  9.67277729e-01],[-2.36086916e-03  9.99997210e-01 -9.09197335e-10]
998,45218,16,"[1417.6598699632889, 1549.4802512273873, 285.89933212437523]",0.0650562337210449,0.1228891557384222,0.0251274594368854,3.727447623232535,7.041029971737476,1.4396973756197085,[-0.93794843 -0.00702128 -0.34670368],[-0.34669397 -0.00259527  0.93797471],[-7.48557435e-03  9.99971985e-01 -8.08921252e-10]
1000,51983,18,"[1390.9844564569187, 2012.683896658523, 205.11097858915414]",0.0011664560211746,0.1192302695260454,-0.0355777092824417,0.0668330070009375,6.831391234049677,-2.0384525866273293,[0.71851387 0.00544416 0.69549131],[-0.69547136 -0.00526957  0.7185345 ],[-7.57675781e-03  9.99971303e-01 -1.94627383e-09]
1003,117439,42,"[1422.0846992906957, 2058.0844097786935, 271.71737668065975]",0.011678133257936,0.1503013750845783,-0.0296792181546429,0.6691077482711023,8.611634447359085,-1.7004939395090943,[-0.47881213 -0.00248114  0.87791389],[-0.8779021  -0.00454916 -0.47881855],[-5.18178255e-03  9.99986578e-01 -2.15516357e-09]
1019,10453,3,"[1405.353678369846, 1556.3670716540705, 207.18387065914092]",-0.0068348233655965,0.1445141724647969,-0.0468405248413085,-0.3916065325660867,8.280052162058558,-2.6837643835846663,[-0.88221726 -0.00488724 -0.47081719],[-0.47080996 -0.00260816  0.8822308 ],[-5.53963934e-03  9.99984656e-01  2.77671770e-09]
1020,82011,29,"[1461.3351257758106, 2161.2119837582763, 246.60985721427613]",-0.0374765040211793,0.1091440925480575,-0.0705119551474514,-2.14724551131863,6.253495861788956,-4.040037435164727,[-0.58209279 -0.0047987   0.81310821],[-0.81308058 -0.00670293 -0.58211257],[-8.24359327e-03  9.99966023e-01  5.61090272e-09]
1049,9126,3,"[1444.2030462415078, 1643.4511286434363, 200.90094236248083]",0.0236856905406832,0.1184029001370382,-0.01396969089387,1.3570901028340927,6.783986459961248,-0.8004043293210898,[-0.98104623 -0.007597   -0.19362485],[-0.19361905 -0.00149934  0.98107564],[-7.74353738e-03  9.99970021e-01 -2.93989096e-09]
1069,13269,4,"[1480.1798929836461, 1691.8237998342, 211.9367699148391]",0.0337946481540534,0.1684675361940664,-0.0101261745400292,1.9362907093568535,9.652478808887444,-0.5801870637565045,[-0.95161901 -0.00382329  0.30725664],[0.30725416 0.00123445 0.95162669],[-4.01764547e-03  9.99991925e-01 -1.84926557e-09]
1072,49927,18,"[1500.8231017285236, 1714.9192420934564, 263.16918701303905]",-0.0204308744198087,0.177968001633344,-0.064101784168138,-1.1706028760168294,10.196815381967957,-3.672761692092827,[-0.80209538 -0.00267798 -0.59718994],[-0.5971866  -0.00199384  0.80209986],[-3.33870487e-03  9.99994428e-01  2.02222713e-09]
1076,137995,50,"[1587.328780028262, 1883.0477843400124, 277.68262618210804]",-0.0310426340087164,0.1097046583661554,-0.0645516001649529,-1.7786119136687262,6.285613917305264,-3.698534250267798,[-0.9829307  -0.0080941   0.18379805],[0.18379181 0.00151346 0.98296403],[-8.23438116e-03  9.99966096e-01 -2.76428321e-09]
