ID,Centroid
791,"[1060.0670638297872, 1876.8542127659575, 201.03046808510638]"
792,"[1110.2376614866887, 2431.7437650161387, 272.8308161498823]"
794,"[1112.8074978433815, 1944.1910045049362, 221.08685181635195]"
798,"[1072.0853534888008, 3014.589455249332, 242.0219375057609]"
799,"[1084.3859688613768, 2595.522265991371, 174.004614518852]"
802,"[1086.539894649293, 3170.2516218464098, 119.45239811477683]"
803,"[1138.393544799878, 2050.3706404082254, 163.99066426323012]"
806,"[1128.5232589838909, 2760.198265179678, 141.5608798017348]"
808,"[1081.6174530524331, 2486.3532341657133, 199.59530860873662]"
809,"[1122.175898525772, 3157.787756913806, 149.36768266437105]"
815,"[1116.4774648738742, 1912.9200065632097, 31.87957373679802]"
821,"[1124.8711605087544, 2603.0729881182133, 195.61229567279744]"
824,"[1124.8960915157293, 2556.900397751553, 222.26948489530258]"
827,"[1122.8113074467294, 1993.9136164525949, 193.38544064147302]"
828,"[1120.9687458260985, 2969.7289969280087, 2.5289167891011086]"
829,"[1102.038107098381, 2370.952303860523, 173.62727272727273]"
830,"[1115.5959606421543, 3219.1416882444328, 255.74358708786465]"
836,"[1169.6169436925347, 2092.902619628196, 94.80516095836782]"
841,"[1165.3123994534676, 2903.8773607774865, 70.1447043656478]"
842,"[1177.1678089104187, 1648.6570975081654, 174.46791166648316]"
845,"[1152.5459623788713, 2036.3876496294888, 292.38183545506365]"
846,"[1138.6301419466977, 1978.4472045191194, 5.127172653534183]"
847,"[1147.9645767734767, 2713.620531579922, 171.06644749027598]"
851,"[1144.447099795845, 2820.3809295064248, 116.22276930467154]"
853,"[1136.841244180031, 3178.9156104500776, 188.74456802897052]"
859,"[1228.3039018327586, 1661.838138416744, 111.82187640403545]"
860,"[1241.4409969700305, 1723.5253000052653, 233.39610747057387]"
863,"[1179.042898042113, 3071.901274473587, 8.081363132619135]"
867,"[1172.5004622674217, 2638.105050271582, 237.8308967987981]"
868,"[1207.7129109863672, 2805.5920003927795, 212.7549711143479]"
870,"[1176.8309383588535, 2053.366156262269, 7.839968590498626]"
872,"[1176.248971757609, 2071.319509185632, 277.96826158486425]"
878,"[1197.597966012885, 2012.9719552713373, 52.177306991532994]"
879,"[1201.2906182602444, 3083.95460100647, 290.4454349388929]"
883,"[1204.9541076224878, 2888.6638881170697, 186.47184403074928]"
884,"[1222.3804144400099, 1629.415589979481, 72.45101355160206]"
885,"[1289.0575563783239, 1791.3893856832262, 271.46298907456764]"
886,"[1198.1114864864865, 2570.879054054054, 289.4016328828829]"
888,"[1208.3492624649518, 3299.25393148848, 152.44910398634647]"
891,"[1210.629020501139, 2134.8896127562643, 7.772118451025057]"
893,"[1196.1915595120342, 2631.9355973183865, 265.9143861962853]"
896,"[1229.122608055094, 2172.3857948023915, 197.2241275932366]"
897,"[1242.9670680544039, 3257.788992982934, 24.677573852455975]"
899,"[1266.6457980371124, 2261.4173391745444, 260.49075698489236]"
902,"[1229.3008752956398, 2790.5897026420585, 246.37358749924195]"
907,"[1217.604286104286, 1669.3428883428883, 7.8734643734643734]"
908,"[1280.265234795077, 2565.565599235273, 147.63266220575935]"
910,"[1279.7194085656017, 3131.542997960571, 73.24558123725357]"
912,"[1261.8029492751973, 2779.6866622670277, 285.2644562273855]"
913,"[1224.614848762603, 1710.8856095325389, 204.43675527039414]"
915,"[1282.0634663562516, 2962.8678965171107, 142.176346045162]"
917,"[1241.0635948070944, 2427.4407752788443, 173.953922106418]"
920,"[1225.8945937783146, 2696.5385080036244, 296.2600422832981]"
922,"[1242.174981516037, 2317.9255712424742, 199.95901841354785]"
926,"[1297.6118222532796, 1774.6885514933986, 37.56300225518534]"
928,"[1262.0041523555647, 3004.6776541754243, 113.18911160096376]"
929,"[1296.8269367075316, 3075.1651353267002, 220.03690966844303]"
933,"[1246.3358793969849, 2798.0488442211054, 261.5380904522613]"
935,"[1302.78818279186, 2792.75265976437, 13.09221706533381]"
936,"[1289.3341335610905, 2434.423997599317, 196.57632556958518]"
937,"[1264.9579521334992, 2879.4744199663323, 259.6243138402986]"
939,"[1269.5892234548337, 3180.8025356576863, 296.97686212361333]"
942,"[1293.0156828247284, 3385.0109810107383, 173.4182491051386]"
943,"[1323.0347003154575, 2445.2396030494215, 229.66059411146162]"
946,"[1305.160440807066, 2539.1681792399318, 172.0708613564541]"
947,"[1332.4794949896261, 2722.8557365470356, 75.81022381141571]"
948,"[1316.3386898049534, 1905.9552583218476, 172.5461617174122]"
949,"[1341.1762710183027, 1980.7812013292992, 109.424810277268]"
950,"[1300.2334180262103, 3053.907361594009, 251.03259561380048]"
952,"[1365.0985776651175, 2683.3179552175748, 127.02639064920433]"
953,"[1318.6561918396565, 1876.3767358625626, 294.5735146743021]"
954,"[1342.9747080431318, 3142.5957368372547, 114.09512461653918]"
957,"[1352.0503191246867, 3458.5121666286755, 24.397281741509005]"
959,"[1365.4685685146887, 1518.6224869448615, 172.32945692512536]"
960,"[1341.1049827397817, 3325.514422193643, 266.2057592078672]"
962,"[1320.5422456297624, 2653.719744509189, 116.48520842671448]"
964,"[1324.1710871848738, 3048.5512079831933, 184.41340598739495]"
969,"[1313.815607189829, 1782.8909250328802, 82.72994300745287]"
971,"[1366.9178812760274, 2672.3219533275715, 202.58269820067574]"
973,"[1374.8556161556603, 3071.592570754717, 10.263561320754716]"
977,"[1422.1392277916605, 1572.1557058160615, 112.50977999902004]"
978,"[1397.9119920011665, 3406.6269606515716, 63.42835419834608]"
979,"[1349.8055630513752, 3445.8054177477943, 218.15516346652828]"
980,"[1406.0770607761692, 1553.8612419402493, 243.46680222689537]"
983,"[1349.3372663396526, 1919.4427283574175, 280.77687922577223]"
990,"[1381.0659881812212, 2936.196724301452, 290.1559786970161]"
993,"[1364.639267714201, 2403.1071375630004, 285.809553809665]"
996,"[1367.6941550414974, 1925.3098475484137, 7.549237742068398]"
997,"[1452.6374433279286, 2968.3380443875285, 71.1543236014004]"
998,"[1417.6598699632889, 1549.4802512273873, 285.89933212437523]"
999,"[1366.937919304545, 2471.1919115562696, 259.5523953510347]"
1000,"[1390.9844564569187, 2012.683896658523, 205.11097858915414]"
1002,"[1406.4345718739, 1923.7175524159084, 48.029111569209114]"
1003,"[1422.0846992906957, 2058.0844097786935, 271.71737668065975]"
1007,"[1446.9703955807151, 2394.221750953464, 149.8923397923757]"
1010,"[1407.8066182405166, 2260.0201372074253, 175.57869249394673]"
1011,"[1435.969664566437, 2607.856071199434, 282.8128547222268]"
1012,"[1410.4229245698236, 2634.551044788632, 243.2209251147486]"
1014,"[1388.6077918992755, 2560.317377360732, 257.5056420002376]"
1015,"[1394.6429455445545, 2536.3496287128714, 293.6885313531353]"
1017,"[1416.3231982907387, 3259.5535650697125, 128.05467444599665]"
1019,"[1405.353678369846, 1556.3670716540705, 207.18387065914092]"
1020,"[1461.3351257758106, 2161.2119837582763, 246.60985721427613]"
1022,"[1441.5180652680654, 2201.5043942543944, 212.60957285957286]"
1024,"[1427.949936331345, 2055.3386502245157, 5.2523959520139405]"
1027,"[1407.450822122571, 1551.6723467862482, 5.612257100149477]"
1031,"[1430.1313429845213, 2840.6557631618493, 103.56449431448179]"
1032,"[1474.9316309861576, 2909.242231966297, 212.5987791247528]"
1034,"[1414.7458784346377, 2075.207826810991, 180.01448792672772]"
1037,"[1447.3305377255663, 3211.6339469540994, 156.93781034273948]"
