ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
1330,19700,7,"[1898.316497461929, 116.93482233502539, 212.06817258883248]",[0.56853373 0.01754604 0.82247281],[ 0.47483344  0.80942311 -0.34549592],[ 0.67179059 -0.58696368 -0.4518529 ],2.2889066588872096,-0.5921057627368338,0.8341728867020232
1354,37624,13,"[1941.3553582819477, 3297.5620880289175, 22.384488624282373]",[0.38434623 0.52592364 0.75873731],[-0.42404011 -0.62946826  0.65112187],[ 0.82004144 -0.57199129 -0.01892103],2.1798526257711925,-0.02306917215778064,0.6093129039759976
1355,5892,2,"[1928.2162253903598, 22.651561439239646, 107.98744059742023]",[-0.31736638 -0.60275513  0.73209619],[0.66777462 0.40609363 0.62383092],[-0.67331689  0.68685822  0.27362411],2.366149740269337,-0.38599628450423557,0.8321104541212717
1360,150950,55,"[2044.4561709175223, 185.21918516064923, 123.88230539913879]",[0.66244806 0.65372894 0.36578823],[-0.07770063 -0.42570138  0.90152146],[ 0.74506723 -0.62563312 -0.23120991],2.2692803694067867,-0.3008983772719656,0.730160698092509
1364,12556,4,"[1958.6593660401402, 123.69488690665817, 252.35823510672188]",[ 0.30412629  0.71740706 -0.62676495],[0.69359616 0.28424888 0.66191158],[ 0.65301728 -0.63602648 -0.41114322],2.3430143166215354,-0.5619042305482335,0.8592346639254638
1369,38979,14,"[1981.7316503758434, 60.79727545601478, 278.4012160394058]",[ 0.41484055  0.76264553 -0.49626517],[0.54874789 0.22536045 0.8050394 ],[ 0.72579824 -0.60628744 -0.32501147],2.26671700466832,-0.4210217755727657,0.7586022602335041
1370,2995,1,"[1948.9031719532554, 149.29215358931552, 230.86176961602672]",[0.67361644 0.68379765 0.28046688],[ 0.02240408 -0.39819834  0.9170257 ],[ 0.73874146 -0.61143999 -0.28355281],2.2621876796518765,-0.36649145427424473,0.7395951845013908
1374,8440,3,"[1974.243009478673, 3344.474052132701, 1.812914691943128]",[ 0.60236481  0.79813398 -0.01178095],[ 0.30566353 -0.217005    0.92708071],[ 0.73737809 -0.5620418  -0.37467662],2.222070305912181,-0.4701225594050978,0.7416157892135197
1375,33773,12,"[1983.8267847096793, 388.94155094306103, 271.949811979984]",[ 0.28763865 -0.2888474   0.91314357],[0.70284393 0.71133489 0.00361625],[ 0.65059543 -0.64075725 -0.40762206],2.3485761325197148,-0.5597037537585717,0.8624281043671417
1378,20456,7,"[1979.354125928823, 310.99506257332814, 193.06232890105593]",[ 0.21290519 -0.38777895  0.89682711],[0.65916762 0.73453292 0.16111934],[ 0.72122773 -0.55685624 -0.41199719],2.228288857063526,-0.5190071530727,0.7652232534933625
