ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
329,100838,36,"[377.3985898173308, 2410.929332196196, 194.37972788036257]",-0.145244322490321,0.1577689203618992,-0.1823950924484392,-8.32188667693245,9.039493275072424,-10.45046900119404,[0.34352538 0.00123903 0.93914257],[-0.93913646 -0.00338728  0.34352761],[-3.60677478e-03  9.99993495e-01  4.50750954e-09]
355,65838,23,"[416.2413044138643, 2540.1332361250343, 181.923843373128]",-0.1259155155940119,0.1063639907414689,-0.1526636704367027,-7.214427618750591,6.094207761654735,-8.74698400099918,[0.32580275 0.00232224 0.94543491],[-0.9454109  -0.00673864  0.32581102],[-7.12756117e-03  9.99974601e-01 -1.05492702e-09]
383,18596,6,"[468.50231232523123, 2349.9804258980425, 135.69590234459022]",-0.1481887187567254,0.2902980918574329,-0.1985710763578785,-8.490588156211501,16.632855464131996,-11.377284608676444,[4.62871550e-01 2.80047194e-09 8.86425365e-01],[-8.86425363e-01 -1.26540852e-08  4.62871545e-01],[-1.39853281e-08  1.00000000e+00 -3.75681579e-13]
429,39088,14,"[525.3685785918952, 2523.393982808023, 110.19097932869423]",-0.1974135623118644,0.0392434420909825,-0.193290890983526,-11.310963939112725,2.2484836053793504,-11.074752271679335,[0.62972229 0.00749248 0.77678421],[-0.77672924 -0.00924158  0.62976685],[-1.18972373e-02  9.99929222e-01 -4.35917053e-09]
449,2840,1,"[552.9947183098592, 2485.4158450704226, 131.67676056338027]",0.2194132615923698,-0.7121885469405289,0.4179155997241802,12.571453858442666,-40.805397957247024,23.9448000568742,[-0.91104226 -0.28163736  0.30113517],[0.28770155 0.08893935 0.95358146],[ 2.95346927e-01 -9.55390072e-01 -2.37978459e-09]
464,56625,20,"[594.7952671081678, 2396.2405651214126, 180.3268344370861]",-0.0657765451274454,0.1189373670513378,-0.099354434607444,-3.7687184267544183,6.814609158439996,-5.692589778915071,[0.35200377 0.00233313 0.93599567],[-0.93597512 -0.00620375  0.3520115 ],[-6.62797341e-03  9.99978035e-01  5.24266819e-09]
490,16090,5,"[632.633374766936, 2472.8537600994405, 140.78570540708515]",-0.0227255985149748,0.2301518152325988,-0.0713006098310895,-1.3020808818168206,13.186727660102644,-4.085224020030417,[ 0.62727625 -0.07904373  0.77477519],[-0.77879265 -0.06040565  0.62436621],[0.00255144 0.99503932 0.0994497 ]
497,111846,40,"[678.9654524971836, 2564.5245426747492, 163.13025052304062]",0.0089602967657311,0.1597961760732275,-0.0338620205351275,0.5133871878611131,9.155646471325326,-1.9401508624481352,[0.44478102 0.00181667 0.89563751],[-0.89563004 -0.00365812  0.44478473],[-4.08437494e-03  9.99991663e-01  3.76360819e-10]
533,43804,15,"[707.5928910601772, 2402.8452424436123, 103.69427449547986]",-0.029852420110346,-0.07537762002651,-0.0140193902019444,-1.7104176805742952,-4.31881949725982,-0.8032518899184709,[0.50045224 0.01569687 0.86562185],[-0.86519636 -0.02713721  0.50069834],[-3.13499518e-02  9.99508469e-01  1.19288448e-09]
539,37669,13,"[712.0972152167565, 2588.590299715947, 102.44017627226631]",-0.0320020819960218,0.2011667734084241,-0.0783001876765056,-1.833584234003652,11.526007094567262,-4.486270288946031,[-0.49177547 -0.12596703  0.86156206],[-0.87070443  0.07743877 -0.48567174],[0.00553968 0.98900735 0.14776254]
545,56445,20,"[738.7123394454779, 2212.9709628842234, 180.3646735760475]",0.0168405716765347,0.0669409589667843,-0.0121100033755686,0.9648936816529954,3.8354344253551673,-0.6938520833092667,[0.50795311 0.006116   0.86136301],[-0.86130058 -0.01037048  0.50798993],[-1.20396209e-02  9.99927517e-01 -9.24247823e-10]
