ID,Pixels,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD],Sph_[RAD],Azi_[DEG],Ele_[DEG],Sph_[DEG],PC1_ROT,PC2_ROT,PC3_ROT
884,44349,16,"[1222.3804144400099, 1629.415589979481, 72.45101355160206]",-0.0888430347995297,0.2380943747569512,-0.1369946638737401,-5.090330933146944,13.641802799379471,-7.849216055778641,[-9.88152927e-01 -7.57793116e-04  1.53470562e-01],[1.53470519e-01 1.17697277e-04 9.88153217e-01],[-7.66885416e-04  9.99999708e-01 -4.47718151e-09]
907,7326,2,"[1217.604286104286, 1669.3428883428883, 7.8734643734643734]",-0.0463970128716155,-0.1073726604964648,-0.0165778288896215,-2.6583530195577225,-6.152000281538495,-0.9498396288653624,[-0.08826736 -0.00338597  0.99609106],[-0.99535899 -0.03818232 -0.08833228],[-3.83321565e-02  9.99265054e-01 -5.20258222e-09]
926,188898,68,"[1297.6118222532796, 1774.6885514933986, 37.56300225518534]",-0.0948242661637119,0.2444926720405467,-0.1433573371120593,-5.433030246605867,14.008398229799512,-8.213770378755168,[-1.14088475e-01 -6.90028558e-05  9.93470586e-01],[-9.93470410e-01 -6.00830096e-04 -1.14088498e-01],[-6.04768113e-04  9.99999816e-01  2.95680782e-09]
969,11405,4,"[1313.815607189829, 1782.8909250328802, 82.72994300745287]",-0.1755852364021293,0.2109564162742033,-0.2199530276649512,-10.060292990648833,12.086912313716766,-12.602380176325944,[-0.96648479 -0.00142576  0.25671993],[2.56719655e-01 3.78715107e-04 9.66485837e-01],[-1.47520144e-03  9.99998915e-01  9.05755853e-10]
996,16989,6,"[1367.6941550414974, 1925.3098475484137, 7.549237742068398]",-0.0477348120564418,-0.037046123746472,-0.0425801258563267,-2.735003266684302,-2.122586537992227,-2.4396615027033945,[-0.99948022 -0.02602577  0.01902478],[1.90183357e-02 4.95224608e-04 9.99819015e-01],[-2.60304743e-02  9.99661151e-01 -4.65337115e-09]
1002,99445,36,"[1406.4345718739, 1923.7175524159084, 48.029111569209114]",-0.12960573056914,0.0958595027000315,-0.1530477206783075,-7.425861362321399,5.492344930934726,-8.76898845896412,[0.32802393 0.00282958 0.94466518],[-0.94463003 -0.00814851  0.32803614],[-8.62581989e-03  9.99962799e-01 -4.21220410e-09]
1024,14921,5,"[1427.949936331345, 2055.3386502245157, 5.2523959520139405]",-0.1351299119678004,-0.0407181665834571,-0.1109862141764169,-7.742373641729316,-2.332979094742715,-6.359041656443722,[-0.89603389 -0.02172271  0.44345393],[0.44332367 0.01074757 0.89629717],[-2.42360523e-02  9.99706262e-01  4.28880339e-09]
1027,6690,2,"[1407.450822122571, 1551.6723467862482, 5.612257100149477]",0.0974841225408793,0.0981441394039489,0.0591666306367982,5.585428791128521,5.623244971789873,3.389998223497976,[-2.03569064e-02 -2.00862164e-04  9.99792755e-01],[-0.99974409 -0.0098645  -0.0203579 ],[-9.86654056e-03  9.99951326e-01  4.90414329e-09]
1039,208582,76,"[1494.9755300073832, 1667.8761110738224, 48.325555417054204]",-0.0285443301111287,0.2689762300785287,-0.0783420313334744,-1.6354696443958687,15.411202772839484,-4.488667753889736,[-2.17367129e-01 -3.92259781e-05  9.76089917e-01],[-9.76089904e-01 -1.76173320e-04 -2.17367131e-01],[-1.80487537e-04  9.99999984e-01 -3.66128040e-09]
1090,31359,11,"[1534.8637711661725, 1348.716827704965, 78.11234414362703]",0.1765983430034743,0.1179884973649352,0.1334626344774412,10.118339723102764,6.760242930101224,7.6468456782545715,[-0.93752576 -0.00751066 -0.34783478],[-0.34782362 -0.00278646  0.93755584],[ 8.01089797e-03 -9.99967912e-01  1.55899693e-09]
