,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,-2.3758588410928297e-13,1.3596837463589899e-13,2499.999999999999,0.059,0.059,0.059,-1.7274456519665162e-18,-1.6816255081273745e-20,4.923587580085791e-37,0.0,0.0,0.0,-1.463936993191963e-17,-1.425106362819809e-19,0.0,-7.667043104268646e-09,2.471734583132859e-07
1,721.6878364870319,-1.6103011300587316e-13,2083.3333333333326,0.059,0.05899999999999998,0.059,-7.911210273527958e-18,-2.5501372675037783e-19,-2.5198054472228784e-18,0.0,-1.1102230246251565e-16,0.0,-6.704415486040642e-17,-2.1611332775455683e-18,-2.1354283451041334e-17,-0.0006754629318168637,0.01731572814231978
2,721.6878364870319,-1.4592166978049605e-13,2916.666666666666,0.059,0.059,0.059,-1.0593066164019402e-17,7.531010431619255e-19,-1.3521439285434423e-34,0.0,0.0,0.0,-8.97717471527068e-17,6.38221223018581e-18,0.0,-2.0067481345332627e-05,0.0005143299012684934
3,3.613327412509677e-15,721.687836487032,2083.3333333333326,0.05899999999999998,0.059,0.059,-1.1421496546841683e-18,-7.068142398330206e-18,1.7444312126268775e-18,-1.1102230246251565e-16,0.0,0.0,-9.67923436173025e-18,-5.989951185025596e-17,1.478331536124472e-17,-7.463846675667907e-06,0.00019129851825944874
4,3.184847836619469e-14,721.6878364870321,2916.666666666667,0.059,0.059,0.059,-6.520830904484912e-18,1.3342997093206316e-18,2.5777658700823145e-18,0.0,0.0,0.0,-5.5261278851567057e-17,1.1307624655259589e-17,2.1845473475273854e-17,6.118909349361461e-06,1.5980826406750674e-06
5,-5.153537466053744e-14,-9.738389379113728e-14,3333.333333333333,0.059,0.059,0.059,-6.474166759586954e-18,-3.4382159503969346e-19,-6.299438657414234e-20,0.0,0.0,0.0,-5.486581999649961e-17,-2.9137423308448567e-18,-5.338507336791724e-19,-5.762121868908205e-08,1.4860118433929245e-06
6,4.689440503542074e-14,-1.0617410540389398e-13,1666.6666666666672,0.059,0.059,0.059,-7.455892205152624e-18,-2.5788002776667536e-18,3.258857099813724e-34,0.0,0.0,0.0,-6.318552716231038e-17,-2.1854239641243675e-17,0.0,-2.095681618696499e-06,5.371239979537764e-05
7,619.3980213838391,-1.3820619987800798e-13,1427.1711568555568,0.059,0.059,0.059,-2.801655203998999e-18,-1.4733535880792679e-18,1.2535911405721371e-18,0.0,0.0,0.0,-2.3742840711855926e-17,-1.2486047356603965e-17,1.0623653733662178e-17,-0.0005918096096339056,0.015168090280871231
8,619.3980213838389,2.242035196202085e-13,3572.8288431444435,0.059,0.059,0.059,-7.305838979771286e-18,2.6275677398251676e-19,-5.4387098805786935e-34,0.0,0.0,0.0,-6.191388965907869e-17,2.2267523218857356e-18,-4.333342374871281e-33,-0.0044153085668701035,0.11316496443150484
9,-2.5748592874151756e-14,619.3980213838393,1427.1711568555565,0.059,0.059,0.059,-5.318442208995607e-18,-1.5960011015427374e-18,-1.3239036529331732e-18,0.0,0.0,0.0,-4.507154414403057e-17,-1.3525433063921502e-17,-1.1219522482484521e-17,7.786103223266887e-08,7.827291875688548e-09
10,3.179244999255015e-14,619.3980213838394,3572.828843144443,0.059,0.059,0.059,-4.806050916356269e-18,2.0373595743384027e-18,7.347010881792066e-19,0.0,0.0,0.0,-4.072924505386669e-17,1.7265759104562736e-17,6.226280408298362e-18,9.124467899570954e-09,9.178445042976695e-10
11,-2.0391119135712948e-13,1.1669663525188953e-13,4166.666666666665,0.059,0.059,0.059,-3.081201009837978e-18,-4.982044324215544e-19,2.2612086922069256e-18,0.0,0.0,0.0,-2.611187296472863e-17,-4.222071461199614e-18,1.9162785527177338e-17,-0.0013219504494566714,0.03388170021142522
12,619.3980213838387,-1.356822597946794e-13,4406.1621764777765,0.059,0.059,0.059,-1.6104793541729573e-18,9.262324651508965e-19,1.528239347466186e-18,0.0,0.0,0.0,-1.3648130120109807e-17,7.849427670770309e-18,1.295118091073039e-17,-0.0011113257920248336,0.028483303746629104
13,-7.748379809223832e-14,619.3980213838393,4406.162176477776,0.059,0.059,0.059,-6.5462636015452346e-18,1.1773596388295955e-18,-1.2880365783085221e-18,0.0,0.0,0.0,-5.5476810182586736e-17,9.977624057877932e-18,-1.0915564222953577e-17,2.553492035584824e-05,2.5669718349634617e-06
14,-2.0078641040429184e-13,-9.055040829139856e-14,4999.999999999999,0.059,0.059,0.059,-3.2701196615605844e-18,1.2460165681336152e-18,2.1935970257259505e-18,0.0,0.0,0.0,-2.7712878487801565e-17,1.0559462441810298e-17,1.8589805302762293e-17,-8.37907072175075e-08,2.1475572361747127e-06
15,3.1792449992550165e-14,-5.194301332204158e-15,833.3333333333334,0.059,0.059,0.059,-1.9349730542972528e-18,-2.6534933531756373e-19,8.702437522291056e-36,0.0,0.0,0.0,-1.6398076731332652e-17,-2.24872318065732e-18,0.0,-0.0003011189331000148,0.007717683323343816
16,619.3980213838388,-1.2418246019259623e-13,593.8378235222231,0.059,0.059,0.059,-9.04893174901673e-18,-1.977148055708853e-19,3.0323860701373795e-35,0.0,0.0,0.0,-7.66858622798028e-17,-1.6755491997532653e-18,0.0,-4.728005995685559e-06,0.00012117887324017793
17,3.914625000027809e-15,619.3980213838393,593.8378235222232,0.059,0.059,0.059,-1.6937638556579521e-18,1.606821912219016e-18,3.276922245799374e-19,0.0,0.0,0.0,-1.4353930980152137e-17,1.3617134849313695e-17,2.7770527506774366e-18,-1.7686735658002265e-05,0.00045331133298682065
