ID,Centroid
3,"[79.04927330052291, 228.92488849584743, 26.792486927099354]"
4,"[112.05300789236234, 181.43229815083436, 266.0806140280744]"
12,"[48.25849899290656, 456.55300814432087, 281.4957176635432]"
14,"[4.5997544505831796, 440.49907918968694, 139.38428483732352]"
15,"[47.26460295681934, 560.2037091279079, 238.11634575361893]"
16,"[36.88653809064609, 882.1661909353905, 280.60252651880427]"
17,"[11.162393162393162, 868.9084642955611, 97.6867934932451]"
20,"[43.82998963351424, 1083.0990304286847, 225.83797792548327]"
22,"[15.786257020151966, 1213.3082259663033, 211.50280806078626]"
23,"[17.452077591138384, 1251.9896510478964, 47.38020697904207]"
25,"[7.457991156032849, 1233.8723941882502, 66.91408717624763]"
26,"[10.586702262903636, 1245.1586575133485, 185.01932367149757]"
27,"[125.83140422615989, 1466.9645014486925, 44.5824414005765]"
28,"[27.539887429643528, 1360.1305816135084, 110.75894934333958]"
30,"[41.342223187854756, 1373.1430433719888, 146.84142201461123]"
31,"[27.05292454497261, 1347.075808446722, 172.5783707368793]"
33,"[59.546496637927476, 1861.4191504063365, 154.4605575265047]"
34,"[29.33185850399737, 1757.2443982039208, 35.756412222100536]"
35,"[27.60589085652331, 1914.5595410191543, 89.72593663414047]"
70,"[32.252270898010806, 1268.5996320570312, 200.90421984592388]"
71,"[83.57211808480764, 576.0357080174108, 17.619216863240663]"
73,"[34.1623944742901, 1329.8260936300844, 187.42739831158863]"
74,"[139.06129575356988, 1035.6962762248663, 180.86759595707653]"
85,"[56.88672865595942, 28.520498732037193, 294.59795012679626]"
91,"[66.30687847911716, 1439.2376053908006, 134.14499169894853]"
93,"[67.23193302891933, 1431.7776560121765, 190.06499238964992]"
99,"[60.49944008958567, 922.2098544232923, 189.6179171332587]"
103,"[194.33679851186147, 381.8430718118699, 235.56780445982255]"
107,"[123.62792647533054, 366.62316457056863, 89.95160700849189]"
109,"[107.90659036366993, 1953.5079072057104, 294.13020737185406]"
111,"[169.47590292045084, 684.8745319790327, 270.93608993682915]"
112,"[96.78384217942695, 1441.6414279004227, 97.7677782996712]"
113,"[100.60312110777346, 26.10901897574914, 42.954355630449115]"
114,"[214.99252070091256, 1672.412862945266, 152.43142835290377]"
119,"[130.53988622267846, 1016.992792677189, 110.78358783523674]"
121,"[165.25102185718947, 1694.6225652933163, 88.92463203546276]"
122,"[128.1091899475921, 1526.8639458589528, 81.61647340403582]"
123,"[115.59370259710411, 1528.4584693173983, 145.24670190760745]"
126,"[111.3200088015256, 727.3478069532052, 6.008068065131289]"
127,"[168.35776029149545, 278.5910535700442, 141.30787270331032]"
129,"[198.64829702257495, 2187.4399372632374, 287.1157716107578]"
131,"[204.06350428021676, 938.777656483154, 235.13809785596482]"
132,"[143.25598248660074, 108.72004982260134, 55.643843889182456]"
138,"[154.61582232968223, 848.3234604441758, 15.64214771815368]"
139,"[132.11412252211895, 1483.0079516183223, 57.006943666704]"
141,"[170.6793900825405, 128.34465377102893, 176.53942410686156]"
143,"[166.12305880855396, 1052.3232879327902, 70.33140274949083]"
144,"[149.90087515627792, 1602.9679704709174, 133.89920819193904]"
148,"[214.69818772108349, 1230.1345399040558, 134.59109851238068]"
149,"[150.18921852387842, 378.82332368548, 52.28762662807525]"
158,"[174.7864429287137, 1204.3823866723003, 256.64875958230215]"
169,"[170.44042092231507, 2260.629216960693, 127.57536366450016]"
171,"[242.78788466332438, 131.44492147466968, 11.971110434035953]"
205,"[213.33144566727213, 1218.2251843145634, 109.42547280692382]"
209,"[315.627870194222, 1327.9531957409783, 43.56242165494256]"
215,"[280.9115783506186, 232.76671557674993, 72.62805549071264]"
217,"[221.43420637425055, 1690.5184600820448, 296.22152098453773]"
219,"[347.1064297301283, 208.9921914171951, 233.4072776876567]"
220,"[312.2326787245335, 60.41898705752664, 266.6543808435063]"
222,"[223.29637291408082, 1169.552475520618, 48.08150599917253]"
223,"[233.05854002586105, 645.7373927353943, 206.920300928647]"
224,"[241.88445522804025, 1291.842716154628, 189.89717695662154]"
226,"[290.7185920631598, 485.2049204023246, 13.255230917989971]"
228,"[249.693222208604, 718.1857253748417, 124.8552110144217]"
