,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,1649.9999999999995,10999.999999999996,-1.149242105249726e-13,-1.8170337234834646e-12,5.549962813617098e-25,1.8666674706616323e-23,2.472295172743483e-12,-1.4338006203035074e-11,-3.351618197954305e-24,-2.9753977059954195e-14,0.0,0.0,5.6121563424179945e-14,-3.254754259811874e-13,-3.0176017241790084e-27,2.1702770613062002e-07,5.363661130246577e-07
1,1948.3817392796552,10999.999999999996,349.09230893363093,1.9729731848277036e-11,-6.377616212914386e-12,-9.898999397935687e-12,-6.719734766344591e-13,-1.1745006104027141e-11,3.090010993622765e-14,3.2307490016592055e-13,-1.4477308241112041e-13,-2.2470914018413168e-13,-1.5253923764494694e-14,-2.6661383812503836e-13,7.014382824169429e-16,2.1751376661472776e-06,5.4102287458212025e-06
2,1539.4405393961738,10560.157268526638,-1.451188965400237e-14,-2.7187706086391063e-12,6.025477894413314e-12,7.619881947682204e-12,9.159990669759743e-13,-2.202284162901607e-11,-6.772440290759203e-12,-4.451994328746878e-14,1.3677947663381929e-13,1.729727472365994e-13,2.079335036538901e-14,-4.999226293404424e-13,-1.537356629194093e-13,2.365160650301875e-06,5.842467755773969e-06
3,2089.440539396174,10560.15726852664,1.3008004952660732e-14,-1.471254917894422e-12,-1.7166743027097813e-12,4.108280382589928e-12,2.4098139046609362e-12,-1.982776640737625e-11,-1.9291760487844587e-12,-2.4091839634365897e-14,-3.8968828164342995e-14,9.325873406851315e-14,5.470322693753133e-14,-4.500940107230232e-13,-4.379265759675995e-14,3.56821464169077e-06,8.81870112611364e-06
4,1398.3817392796554,10999.999999999998,349.092308933631,-1.7627939108378378e-12,-7.434031168427398e-13,7.05254799009242e-12,1.7491271606621343e-12,-2.206877327522506e-11,-3.3748921842203662e-12,-2.886579864025407e-14,-1.687538997430238e-14,1.6009416015094757e-13,3.970551411752967e-14,-5.009652863112259e-13,-7.661068461989043e-14,1.3021676315685505e-06,3.2175776208810617e-06
5,2199.9999999999995,11000.0,-7.393724717811613e-14,5.11210234143924e-12,-5.213603437858826e-12,-2.9491584174423103e-12,-7.898812435901581e-13,-1.7601109988159886e-11,-1.1762689386552912e-12,8.37108160567368e-14,-1.1834977442504169e-13,-6.694644838489694e-14,-1.7930452155726617e-14,-3.995484930061383e-13,-2.6701525195035344e-14,3.3048905572203625e-07,8.256662933132157e-07
6,1100.0,10999.999999999998,-3.4223691184309193e-14,-4.278165222082164e-12,5.822306267593122e-26,2.6443294303029612e-23,-8.007608051925576e-13,-1.7065266056260234e-11,1.2408100505570495e-24,-7.005507285384738e-14,0.0,0.0,-1.8177420241591582e-14,-3.873847354012496e-13,0.0,1.2319394717198157e-07,3.0433057057890353e-07
7,1837.8222786758295,10560.157268526638,349.0923089336312,-2.8272502339275445e-12,-1.4721338037479912e-12,3.012738947230054e-12,1.8216665969164737e-12,-1.6140642508718837e-11,-9.263368841744273e-13,-4.629630012686903e-14,-3.341771304121721e-14,6.838973831690964e-14,4.1352172905473254e-14,-3.6639560771171056e-13,-2.1028020751877872e-14,2.001573868734491e-05,4.946312271689506e-05
8,1978.881078792349,10120.314537053278,-9.483612312591359e-14,-1.3017555033911498e-12,1.2899976621299836e-27,2.3244312262732653e-23,-1.1919272420220838e-13,-1.599976613855588e-11,1.7316208729610657e-25,-2.1316282072803006e-14,0.0,0.0,-2.705697161391872e-15,-3.631976877261637e-13,0.0,3.266672296322116e-05,8.068649562991738e-05
9,1696.7634785593116,10999.999999999998,698.1846178672619,8.583450350486784e-12,7.727330606049818e-25,2.269208162786805e-23,2.9172257005726194e-12,-1.5808565130273383e-11,-4.187471992479538e-24,1.4055423491754482e-13,0.0,0.0,6.622156973092293e-14,-3.5885738903052547e-13,0.0,1.1088508533484104e-05,2.7505394039300854e-05
